id;item_name;description;default_qty;price;created_date;created_by;last_modified_date;last_modified_by
1;emulation Seychelles Rupee Tools;systematic Integration drive;52903;38967;2020-10-31T10:31:48;payment Plains Rustic;2020-10-31T22:55:19;Fantastic
2;heuristic primary;Senegal South Carolina circuit;42301;86984;2020-11-01T00:28:54;Coordinator;2020-11-01T05:50:51;Ergonomic Plastic Fish
3;Home;Avon synergies;80313;14590;2020-10-31T21:33:07;Designer;2020-10-31T23:55:58;Pound Sterling Knoll Reactive
4;projection;Alaska Direct access;48051;96808;2020-10-31T18:27:43;Pizza yellow quantifying;2020-11-01T01:51:35;Assimilated teal
5;Fork Road;e-commerce Handmade;20198;63522;2020-11-01T05:38:10;Orchestrator Executive Manager;2020-10-31T11:28:55;capacitor Tasty Rubber Chair
6;Optional Turnpike fuchsia;payment;55462;59292;2020-10-31T23:43:51;Clothing;2020-10-31T14:56:14;invoice auxiliary
7;actuating Salad Concrete;demand-driven transmitting conglomeration;39204;20333;2020-11-01T04:28:04;wireless Licensed;2020-10-31T18:36:34;Practical Concrete Shirt Nebraska
8;Fresh;Investment Account Saint Helena indexing;18662;50078;2020-11-01T03:27:32;Utah GB Human;2020-10-31T20:53:46;Bacon Bike transmit
9;initiative bandwidth Soft;Granite Sleek Soft Car;34949;10856;2020-10-31T12:13:27;Buckinghamshire Congolese Franc interface;2020-10-31T23:20:50;real-time
10;Credit Card Account Uzbekistan Sum Direct;Ramp Holy See (Vatican City State) Optimization;43167;91906;2020-10-31T22:41:11;responsive SMTP;2020-10-31T12:27:44;Operations
