id;tx_type;tx_ref;description;tx_ammount;created_date;created_by;last_modified_date;last_modified_by
1;REFUND;plum;Cocos (Keeling) Islands Rubber;93256;2020-10-31T11:40:47;bandwidth Granite;2020-10-31T09:13:50;Arkansas
2;PAYMENT;invoice Concrete;North Dakota Sports Handcrafted;75571;2020-11-01T04:01:39;Upgradable invoice;2020-10-31T07:35:19;Home Loan Account
3;ADJUSTMENT;dedicated lavender Group;Multi-tiered Director;4111;2020-10-31T09:31:13;JSON matrix Shirt;2020-11-01T03:06:56;XSS
4;CREDIT;Principal;protocol Streets Somoni;33432;2020-10-31T07:15:50;withdrawal Shoes Fish;2020-10-31T10:34:35;visionary Refined Soft Table Fish
5;REFUND;Freeway payment salmon;synergize orchestrate Personal Loan Account;42827;2020-10-31T22:44:24;program multi-byte JSON;2020-10-31T10:31:03;digital
6;ADJUSTMENT;sticky Liaison;solution;16660;2020-10-31T19:25:21;collaborative Soft;2020-11-01T02:15:25;Credit Card Account Investment Account Practical
7;INVOICE;invoice gold Games;Future;34095;2020-10-31T20:42:48;compressing;2020-10-31T12:42:30;Principal deposit Lock
8;ADJUSTMENT;Orchestrator United Kingdom solid state;real-time array;97919;2020-11-01T01:02:07;networks Toys;2020-11-01T00:59:37;tan Group FTP
9;PAYMENT;SDD Burg;interface Web systems;39464;2020-11-01T00:55:18;moratorium connect;2020-10-31T10:06:20;ability Incredible bleeding-edge
10;REFUND;red solid state;Product Dynamic;42920;2020-10-31T12:40:58;online;2020-10-31T09:04:07;encoding Avon Car
