id;custom_trip_number;description;trip_type;shipment_number;order_number;bol;pickup;jhi_drop;current_location;status;detention;chasis_in_time;order_document;order_document_content_type;pod;pod_content_type;hazmat;refrigerated;liftgate;recieved_by;covered_by;load_type;container_size;numbers_of_container;comments;auto_generate_invoice;created_date;created_by;last_modified_date;last_modified_by
1;Architect;e-business Solutions;RETURN;architecture Money Market Account;Chief;Universal Rhode Island Prairie;2020-10-31;2020-10-31;wireless Auto Loan Account;COMPLETED;11876;2020-10-31T21:23:41;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;true;false;1080p;OwnerOperator;DRYVAN;C53;87930;override Handmade;false;2020-10-31T11:11:30;Grass-roots;2020-10-31T15:50:25;deposit networks primary
2;Bahamian Dollar;unleash;RETURN;unleash International;SSL Home Loan Account Practical Metal Tuna;fault-tolerant;2020-10-31;2020-11-01;Illinois hacking Utah;PICKEDUP;51062;2020-10-31T10:35:41;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;true;true;Towels front-end Tools;CompanyDriver;POWERONLY;C20;89405;systems;false;2020-10-31T15:35:55;quantifying Versatile content;2020-11-01T02:30:45;microchip
3;Metal Games;Internal;PICKUP;UIC-Franc 1080p;niches;Plastic multi-byte holistic;2020-10-31;2020-10-31;Functionality Infrastructure;PICKEDUP;46027;2020-10-31T10:05:46;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;false;false;Paraguay;OwnerOperator;FLATBED;C43;11520;Hat;true;2020-10-31T21:46:34;Keyboard;2020-10-31T17:32:03;gold Enterprise-wide
4;Granite Ball;Seamless;RETURN;black Advanced;Lead red;Lead;2020-10-31;2020-10-31;Chicken generate green;DELIVERED;25565;2020-10-31T17:42:52;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;false;true;Checking Account;CompanyDriver;LTL;C20;5010;PNG Corporate;true;2020-10-31T16:31:40;Orchestrator experiences;2020-10-31T09:48:17;Rest Metal Future
5;systematic;circuit Samoa application;RETURN;efficient;mobile Mobility;array Checking Account backing up;2020-10-31;2020-11-01;invoice Leone;INVOICED;57987;2020-10-31T15:59:34;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;false;false;Algerian Dinar payment Handcrafted;CompanyDriver;FLATBED;C53;83223;grid-enabled;true;2020-10-31T21:17:01;Frozen Integration Practical;2020-11-01T00:28:03;eyeballs
6;Accountability Gardens;Denar Liechtenstein;PICKUP;functionalities;compressing next-generation optimizing;violet transmitting;2020-10-31;2020-11-01;CFA Franc BEAC;PICKEDUP;60394;2020-10-31T19:12:27;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;false;true;Identity Concrete International;CompanyDriver;CONTAINER;C43;92739;Small;true;2020-11-01T02:46:06;compressing;2020-10-31T20:18:12;mobile
7;North Carolina Wooden;Virgin Islands, U.S. Shoes;PICKUP;alarm full-range Quality;Extended deposit;interfaces;2020-10-31;2020-10-31;website transition RAM;PICKEDUP;11333;2020-10-31T20:03:11;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;false;true;Engineer parse lavender;CompanyDriver;REEFER;C53;79502;Bedfordshire support scalable;false;2020-11-01T05:39:43;Consultant;2020-10-31T10:40:56;Rustic
8;Track;bus;RETURN;deposit array;maximize;Handcrafted Soft Bacon azure Extensions;2020-11-01;2020-10-31;Regional invoice;ONROAD;90651;2020-10-31T22:39:32;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;false;false;false;Developer Metal Small Frozen Salad;OwnerOperator;LTL;C20;18466;Investor Garden Georgia;false;2020-10-31T15:06:48;extensible Cotton;2020-10-31T13:25:54;evolve Frozen
9;calculate salmon;primary;PICKUP;Cotton Bedfordshire;bleeding-edge mission-critical;markets e-business program;2020-10-31;2020-10-31;lavender Savings Account;INVOICED;44563;2020-11-01T02:17:51;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;true;true;Sports Intelligent Rubber Car;OwnerOperator;DRYVAN;C43;94428;Salad infrastructures;false;2020-10-31T14:51:49;Auto Loan Account Buckinghamshire;2020-10-31T11:53:57;users payment
10;Burundi International;Tuna;PICKUP;Auto Loan Account Wooden Administrator;Credit Card Account;azure Division Borders;2020-10-31;2020-10-31;protocol;DELIVERED;19132;2020-10-31T23:52:40;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;true;false;true;Representative Electronics;CompanyDriver;FLAT_DECK;C20;21863;system engine Soft;true;2020-11-01T05:12:03;Small Fresh Soap;2020-10-31T22:26:16;invoice
