id;customer;from_date;to_date;remarks;invoice_report;invoice_report_content_type;created_date;created_by;last_modified_date;last_modified_by
1;53074;2020-10-31;2020-10-31;Toys Oval Refined Soft Chicken;../fake-data/blob/hipster.png;image/png;2020-11-01T01:05:18;invoice;2020-10-31T18:45:13;Synergized protocol AGP
2;59643;2020-10-31;2020-11-01;Practical enable fault-tolerant;../fake-data/blob/hipster.png;image/png;2020-10-31T07:58:08;Lock Computers connect;2020-10-31T12:48:58;Steel
3;77178;2020-10-31;2020-11-01;Computer Refined Wooden Shirt;../fake-data/blob/hipster.png;image/png;2020-10-31T15:59:33;scalable;2020-11-01T03:18:27;Indonesia Unbranded
4;53364;2020-10-31;2020-10-31;Investor real-time;../fake-data/blob/hipster.png;image/png;2020-10-31T07:28:50;Florida Up-sized;2020-10-31T21:18:58;Central
5;90628;2020-11-01;2020-10-31;tan;../fake-data/blob/hipster.png;image/png;2020-11-01T03:40:08;Human firewall compressing;2020-10-31T11:50:08;attitude-oriented
6;60602;2020-10-31;2020-10-31;online Credit Card Account XML;../fake-data/blob/hipster.png;image/png;2020-10-31T21:38:27;Planner payment Frozen;2020-10-31T07:50:31;transmitting
7;57848;2020-10-31;2020-10-31;foreground;../fake-data/blob/hipster.png;image/png;2020-10-31T12:03:56;utilize Tools recontextualize;2020-11-01T03:11:32;Agent hard drive
8;65767;2020-10-31;2020-11-01;Money Market Account Buckinghamshire;../fake-data/blob/hipster.png;image/png;2020-10-31T17:49:23;SMS convergence;2020-10-31T17:34:15;National enhance Tools
9;51418;2020-10-31;2020-11-01;reinvent green;../fake-data/blob/hipster.png;image/png;2020-10-31T19:42:04;background repurpose;2020-11-01T04:34:50;Frozen cyan
10;15474;2020-10-31;2020-11-01;Michigan;../fake-data/blob/hipster.png;image/png;2020-11-01T06:00:05;turn-key;2020-11-01T00:58:40;Gourde US Dollar withdrawal
