id;invoice_no;pay_date;pay_ref_no;mode;ammount;unused_ammount;created_date;created_by;last_modified_date;last_modified_by
1;Soap Guernsey;2020-10-31;Bacon Gabon Polarised;CHECK;10361;44370;2020-10-31T20:53:15;solid state Buckinghamshire;2020-11-01T01:14:12;Tools e-services Skyway
2;hack;2020-11-01;Factors Alabama Accountability;CHECK;14845;13643;2020-11-01T03:10:29;syndicate;2020-11-01T06:08:25;Singapore Dollar Sleek
3;system engine Pre-emptive;2020-11-01;redundant Multi-channelled bandwidth;CASH;24324;46136;2020-10-31T20:45:03;throughput EXE;2020-10-31T14:34:56;demand-driven Vermont red
4;back-end task-force;2020-10-31;United States Minor Outlying Islands Designer indigo;BANK_TRANSFER;70263;62426;2020-10-31T21:03:06;Table Music Slovenia;2020-11-01T00:39:17;Kentucky SDD
5;capacitor Assistant;2020-10-31;Netherlands;CHECK;2587;52561;2020-10-31T06:41:13;Pizza Avon;2020-10-31T15:09:58;Accountability Cedi
6;protocol Accounts optical;2020-10-31;target Bedfordshire deposit;CHECK;303;74355;2020-10-31T10:45:05;Intelligent Rubber Chair wireless Intelligent;2020-10-31T18:36:12;payment synthesize Malaysian Ringgit
7;Checking Account;2020-11-01;expedite Car incubate;BANK_TRANSFER;21621;73886;2020-10-31T15:58:02;action-items;2020-10-31T09:11:28;Salad Incredible Handmade
8;reboot;2020-10-31;Metical;CASH;94654;27817;2020-10-31T10:07:30;reintermediate;2020-10-31T14:43:34;pink Engineer
9;magenta Orchestrator Borders;2020-11-01;Technician 3rd generation;CHECK;22203;20003;2020-10-31T08:04:44;orchid Pizza;2020-10-31T10:54:01;sensor Cambridgeshire
10;Northern Mariana Islands TCP;2020-10-31;Forest end-to-end;CHECK;23010;13564;2020-10-31T12:47:59;Representative Gloves El Salvador;2020-10-31T15:27:39;client-driven
