id;balance;over_30;over_60;over_90;created_date;created_by;last_modified_date;last_modified_by
1;96113;89691;79862;34169;2020-10-31T09:43:07;Fresh;2020-10-31T21:39:18;24/365 Alabama
2;87119;86850;29107;9778;2020-10-31T14:40:33;Technician invoice Cambridgeshire;2020-10-31T23:41:05;Administrator Dynamic Swedish Krona
3;50710;15220;31901;97344;2020-10-31T19:03:27;visionary;2020-10-31T20:51:08;networks
4;10506;60384;34515;80220;2020-10-31T14:49:28;Chips;2020-10-31T23:03:40;responsive connecting bus
5;4896;30076;66144;15489;2020-10-31T21:22:38;payment SDD connecting;2020-10-31T20:44:24;Auto Loan Account
6;28284;43392;39379;47047;2020-10-31T13:55:04;Beauty;2020-10-31T13:12:14;support hack
7;84456;60832;23698;26580;2020-10-31T18:27:17;Division Intelligent;2020-10-31T12:39:51;clicks-and-mortar expedite Steel
8;84234;378;19427;74143;2020-10-31T17:07:05;Plastic haptic Bedfordshire;2020-10-31T20:45:29;Denar
9;54896;42115;32838;15838;2020-11-01T01:13:30;upward-trending methodical Steel;2020-10-31T15:18:27;orange Granite Automotive
10;1232;54202;7320;40859;2020-10-31T17:41:17;Clothing Money Market Account background;2020-10-31T23:28:07;Investment Account Gorgeous Orchestrator
