id;item_name;description;qty;price;discount;total;created_date;created_by;last_modified_date;last_modified_by
1;gold;parse;23065;2081;89833;22387;2020-10-31T07:34:26;optical;2020-10-31T13:57:09;maximized Savings Account Quality
2;Sleek Soft Bacon;Ghana;93874;18213;6918;50127;2020-10-31T19:12:14;Balanced Principal Point;2020-10-31T21:38:52;synergies maroon
3;Handmade;Vietnam Phased Investment Account;35020;13097;51521;44039;2020-10-31T13:40:39;expedite Florida;2020-10-31T13:59:16;access
4;Handmade deposit;Security;9933;77300;35328;51015;2020-11-01T02:07:40;Avon;2020-11-01T02:17:39;Intelligent Designer
5;multi-byte architect heuristic;compressing copying;80635;12483;33390;3756;2020-10-31T08:10:17;Home Loan Account Vermont;2020-10-31T20:50:41;Wooden Synergistic contingency
6;pixel;firmware Solomon Islands;93004;75247;81621;78644;2020-10-31T13:40:33;Granite parsing;2020-10-31T17:38:50;invoice
7;Assistant teal THX;holistic back-end;67394;10512;5173;65348;2020-11-01T02:01:57;intermediate Handmade;2020-10-31T18:58:00;Cambridgeshire
8;synthesizing deposit;open-source mobile;65424;29420;34236;61611;2020-11-01T05:47:16;Object-based District;2020-10-31T19:31:22;neural multi-state Gorgeous
9;connecting Hawaii;Poland Internal;42626;58256;74019;54800;2020-11-01T01:18:21;Missouri Global bluetooth;2020-11-01T00:05:51;Mexico Toys
10;networks;Metal;96324;14403;89607;99698;2020-11-01T02:21:54;synthesize Buckinghamshire virtual;2020-11-01T04:11:29;Face to face Checking Account
