id;enity_name;entity_link;action
1;intuitive 5th generation Cambridgeshire;Mills South Carolina;Forward Stand-alone
2;logistical Berkshire feed;SMTP firewall Seychelles Rupee;SAS Computer
3;interface monetize;Ukraine Applications;leverage
4;Research Home Loan Account;Tasty Planner;benchmark silver harness
5;TCP program;Handmade Frozen Pants;navigating Data
6;Suriname exploit middleware;open-source Refined;Washington Cotton
7;demand-driven;24/7;Jewelery Swiss Franc bricks-and-clicks
8;regional Incredible Concrete Car challenge;envisioneer;bypass
9;Sharable contextually-based azure;Steel Practical Plastic Gloves Generic Rubber Ball;parse Regional
10;Wisconsin;Operations Licensed Wyoming;Strategist Libyan Dinar
