id;number;trip_type;pickup;jhi_drop;container_size;created_date;created_by;last_modified_date;last_modified_by
1;Data revolutionary withdrawal;PICKUP;2020-11-01;2020-10-31;C43;2020-10-31T12:26:34;3rd generation Designer;2020-10-31T10:45:57;Phased
2;Antigua and Barbuda Mouse Checking Account;PICKUP;2020-11-01;2020-10-31;C53;2020-10-31T06:38:47;cohesive Chilean Peso Unidades de fomento e-business;2020-11-01T03:24:44;matrix Gorgeous
3;generate Generic Salad;RETURN;2020-10-31;2020-10-31;C20;2020-10-31T11:45:36;Bike discrete;2020-11-01T05:04:51;Applications EXE
4;maximize Regional;PICKUP;2020-10-31;2020-10-31;C20;2020-10-31T07:16:10;Associate mint green;2020-10-31T13:45:31;initiatives
5;withdrawal FTP neural;RETURN;2020-10-31;2020-10-31;C53;2020-10-31T14:09:43;invoice revolutionary;2020-10-31T17:31:09;Tasty
6;Reverse-engineered Saint Kitts and Nevis generating;PICKUP;2020-10-31;2020-10-31;C53;2020-11-01T02:18:43;deposit;2020-10-31T21:55:52;Frozen Infrastructure
7;Electronics Awesome silver;RETURN;2020-10-31;2020-10-31;C20;2020-10-31T11:11:58;Money Market Account;2020-10-31T08:55:11;Right-sized strategize Tools
8;Plastic Credit Card Account Lead;RETURN;2020-11-01;2020-10-31;C20;2020-11-01T04:42:17;Internal invoice;2020-10-31T06:27:46;Florida
9;digital;RETURN;2020-10-31;2020-11-01;C43;2020-10-31T12:16:14;applications reciprocal instruction set;2020-10-31T20:30:43;reboot Down-sized connect
10;process improvement;PICKUP;2020-10-31;2020-11-01;C43;2020-11-01T06:10:07;Vermont;2020-10-31T23:54:06;Hat pixel
